Date : 2026-04-17 15:40:49
Directory : /home/sachin-kumar/Desktop/coding/1
Total : 65 files,  8287 codes, 216 comments, 936 blanks, all 9439 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /home/sachin-kumar/Desktop/coding/1/web/admin/eslint.config.js                 | JavaScript       |         28 |          0 |          2 |         30 |
| /home/sachin-kumar/Desktop/coding/1/web/admin/index.html                       | HTML             |         13 |          0 |          1 |         14 |
| /home/sachin-kumar/Desktop/coding/1/web/admin/package-lock.json                | JSON             |      3,103 |          0 |          1 |      3,104 |
| /home/sachin-kumar/Desktop/coding/1/web/admin/package.json                     | JSON             |         32 |          0 |          1 |         33 |
| /home/sachin-kumar/Desktop/coding/1/web/admin/public/favicon.svg               | XML              |          1 |          0 |          0 |          1 |
| /home/sachin-kumar/Desktop/coding/1/web/admin/public/icons.svg                 | XML              |         24 |          0 |          1 |         25 |
| /home/sachin-kumar/Desktop/coding/1/web/admin/src/App.css                      | CSS              |        158 |          0 |         27 |        185 |
| /home/sachin-kumar/Desktop/coding/1/web/admin/src/App.jsx                      | JavaScript JSX   |        191 |          6 |         18 |        215 |
| /home/sachin-kumar/Desktop/coding/1/web/admin/src/assets/react.svg             | XML              |          1 |          0 |          0 |          1 |
| /home/sachin-kumar/Desktop/coding/1/web/admin/src/assets/vite.svg              | XML              |          1 |          0 |          1 |          2 |
| /home/sachin-kumar/Desktop/coding/1/web/admin/src/index.css                    | CSS              |        179 |          0 |         28 |        207 |
| /home/sachin-kumar/Desktop/coding/1/web/admin/src/main.jsx                     | JavaScript JSX   |          9 |          0 |          2 |         11 |
| /home/sachin-kumar/Desktop/coding/1/web/admin/vite.config.js                   | JavaScript       |          5 |          1 |          2 |          8 |
| /home/sachin-kumar/Desktop/coding/1/web/web.go                                 | Go               |          3 |          2 |          3 |          8 |
| Total                                                                          |                  |      8,287 |        216 |        936 |      9,439 |
+--------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
