"filename", "language", "Markdown", "Makefile", "Go Module File", "YAML", "Python", "Go", "Shell Script", "Docker", "pip requirements", "Go Checksum File", "C++", "JavaScript JSX", "CSS", "HTML", "XML", "JSON", "CMake", "JavaScript", "C", "Batch", "TypeScript", "JSON with Comments", "comment", "blank", "total"
"/home/sachin-kumar/Desktop/coding/1/cpp/build/Release/_deps/llama-src/.github/workflows/docker.yml", "YAML", 0, 0, 0, 341, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 63, 443
"/home/sachin-kumar/Desktop/coding/1/cpp/build/Release/_deps/llama-src/.github/workflows/editorconfig.yml", "YAML", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"/home/sachin-kumar/Desktop/coding/1/cpp/build/Release/_deps/llama-src/.github/workflows/gguf-publish.yml", "YAML", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 10, 45
"/home/sachin-kumar/Desktop/coding/1/cpp/build/Release/_deps/llama-src/.github/workflows/hip-quality-check.yml", "YAML", 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 83
"/home/sachin-kumar/Desktop/coding/1/cpp/build/Release/_deps/llama-src/.github/workflows/labeler.yml", "YAML", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"/home/sachin-kumar/Desktop/coding/1/cpp/build/Release/_deps/llama-src/.github/workflows/pre-tokenizer-hashes.yml", "YAML", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 46
"/home/sachin-kumar/Desktop/coding/1/cpp/build/Release/_deps/llama-src/.github/workflows/python-check-requirements.yml", "YAML", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 34
"/home/sachin-kumar/Desktop/coding/1/cpp/build/Release/_deps/llama-src/.github/workflows/python-lint.yml", "YAML", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37
"/home/sachin-kumar/Desktop/coding/1/cpp/build/Release/_deps/llama-src/.github/workflows/python-type-check.yml", "YAML", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 44
"/home/sachin-kumar/Desktop/coding/1/cpp/build/Release/_deps/llama-src/.github/workflows/release.yml", "YAML", 0, 0, 0, 1071, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 183, 1265
"/home/sachin-kumar/Desktop/coding/1/cpp/build/Release/_deps/llama-src/.github/workflows/server-sanitize.yml", "YAML", 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 106
"/home/sachin-kumar/Desktop/coding/1/cpp/build/Release/_deps/llama-src/.github/workflows/server-self-hosted.yml", "YAML", 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 10, 126
"/home/sachin-kumar/Desktop/coding/1/cpp/build/Release/_deps/llama-src/.github/workflows/server-webui.yml", "YAML", 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 109
"/home/sachin-kumar/Desktop/coding/1/cpp/build/Release/_deps/llama-src/.github/workflows/server.yml", "YAML", 0, 0, 0, 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 166
